date,AAPL,MSFT,NVDA,JPM,XOM,AMZN,META,GOOGL,TSLA,UNH
2021-04-30,0.0135165543557988,0.013400282767849495,0.025787373758778397,0.0122053749058465,0.015803321880379563,0.012050296858166071,0.019508298271328314,0.015415353451551693,0.03319565952435599,0.013476689848637967
2021-05-03,0.013535133350067159,0.012207193202260623,0.025179122145680067,0.012054611672571111,0.015775951966604293,0.013030690838690276,0.019553818834781845,0.014384277295741519,0.034138458759430744,0.01324481678236224
2021-05-04,0.015286149214639146,0.011329044050626569,0.026305373559960703,0.012370373954643814,0.015327230374587417,0.013532633147334938,0.018569794928664205,0.012370601627601781,0.032964834469575134,0.013354282584137251
2021-05-05,0.015283690178871217,0.011339127819856609,0.026229492153702974,0.012526828869953308,0.01639259755443991,0.013859964377820602,0.01862540031252201,0.012291108528526733,0.032966534588574986,0.012491491402397453
2021-05-06,0.015260297342228998,0.011572541718088874,0.025908690873617527,0.012805086725829236,0.016439680471087164,0.01355593718054501,0.0183185400888768,0.012149478320975316,0.03238672297687,0.012479101344741025
2021-05-07,0.014718206354714117,0.011443160342329662,0.026118753596776182,0.012809627880656621,0.01623344942600989,0.013530679719723276,0.01833559454676568,0.0121662328154565,0.03223846006002064,0.012341011530644711
2021-05-10,0.01502463976617987,0.012052356366363865,0.02745405028189759,0.012750339316497735,0.016156867551466517,0.014162773504596148,0.020562691106324145,0.013491948671658923,0.03527090444431522,0.011020380036829053
2021-05-11,0.014860326803323817,0.01205353085175791,0.0244139208596546,0.013343833019551167,0.017981898912375383,0.014415602934771565,0.02056950140445416,0.01340886982586446,0.03420487110177711,0.012506287030042695
2021-05-12,0.014448930549887823,0.013174733779869087,0.024373707513996146,0.013144482927009244,0.017983401205086555,0.014935325121404015,0.020715129774371253,0.015050665748432305,0.028552921853985728,0.013100318320297535
2021-05-13,0.014847177981722207,0.013775914489901129,0.023950981292281723,0.013342331381672935,0.017433268497207933,0.014516605786435599,0.020233885685149354,0.015321615109284306,0.028178064016489226,0.013128630010252456
2021-05-14,0.01492808801433702,0.014186876776538399,0.022401008532597806,0.013596310602875082,0.017969581155689418,0.014870536933993015,0.02131050252055732,0.015506275961780959,0.02937912769750492,0.010641087695886836
2021-05-17,0.015002108455759248,0.014252304434336328,0.02232438631372227,0.013568674079452546,0.018309610323125423,0.015224814555095872,0.02127009809121027,0.015538790000092683,0.029345157612850264,0.0107014557978864
2021-05-18,0.014998387772661692,0.014268749378852976,0.021311244678513416,0.014015117093902681,0.01968426688055369,0.015319413903449113,0.02144726771904969,0.015729385315465732,0.02900767179409195,0.010645813531397104
2021-05-19,0.014850719820325016,0.01431685285800497,0.021293402782773113,0.013017670870356093,0.0198856877875799,0.015179537922525145,0.02157433753975535,0.01572946072600845,0.028938666545963308,0.010143897772273073
2021-05-20,0.015696874055534757,0.01454859675040096,0.022937573801310392,0.013018659235711313,0.019817570935600364,0.015092270811198065,0.021760907892180156,0.01609527578832161,0.029457883354305693,0.010125748641555238
2021-05-21,0.015806540457641793,0.0143614391460163,0.022530316250166528,0.011851018639834643,0.019475941221604415,0.015001704571739539,0.021454573592048647,0.01592743244009919,0.02902061549084398,0.010082150076358248
2021-05-24,0.015539567533956074,0.014882841354306144,0.023469518916703378,0.01139625634137884,0.019550097587046466,0.01514654229568933,0.021896590601691295,0.016506818400817698,0.030888515069547488,0.009949504841888095
2021-05-25,0.01549034914332999,0.014915508814096727,0.023289902668091188,0.011823034110737048,0.020415784702934137,0.014393842952833255,0.021931957437137488,0.01649177769291813,0.03055676828555592,0.009559287831451619
2021-05-26,0.015498946094111326,0.014897600298486361,0.023244664915301996,0.011844996421416584,0.02038267599375172,0.014384867396345272,0.021945405050701368,0.016402091735855828,0.030146372905051143,0.009486066513795754
2021-05-27,0.015631280357579637,0.013684918880021758,0.02340425355221117,0.01212716059584578,0.019503785357856983,0.014122549952031474,0.02203321143902001,0.01524526543374346,0.03055270303702358,0.009506674284022213
2021-05-28,0.015630865990206015,0.013592075468108814,0.0255604776528652,0.011613411749388774,0.01928695804705011,0.014035887868231981,0.017179325175347638,0.014903457733557248,0.030201763195560127,0.008860952760322612
2021-06-01,0.015384879052389258,0.013725294092099553,0.024990923044691513,0.011427052417717557,0.019485787716407712,0.014033837258368275,0.016902407799458338,0.01462603668611391,0.027903474725389264,0.009211535407648831
2021-06-02,0.01532307269666457,0.013725117201355065,0.025407633406631543,0.011359447524782722,0.01874110457841696,0.013354129964930201,0.016796082232759454,0.014626378696366911,0.027679133087538187,0.008392376020958455
