date,portfolio_value
2022-05-12,1184106.3627866688
2022-05-13,1227497.1910464503
2022-05-16,1220025.0530575719
2022-05-17,1250850.786274094
2022-05-18,1196056.517857477
2022-05-19,1194198.1544888504
2022-05-20,1187062.3859421322
2022-05-23,1215306.513960724
2022-05-24,1190856.879636744
2022-05-25,1211077.1853928918
2022-05-26,1240395.693739585
2022-05-27,1277329.005325832
2022-05-31,1272749.826880638
2022-06-01,1268644.1860043702
2022-06-02,1297774.5189599935
2022-06-03,1266357.6992103637
2022-06-06,1274194.8862209625
2022-06-07,1293169.456824116
2022-06-08,1290462.7018120226
2022-06-09,1258323.6624960834
2022-06-10,1214756.167701648
2022-06-13,1155946.933824247
2022-06-14,1157302.5012708548
2022-06-15,1180711.0559583283
2022-06-16,1135418.3992357855
2022-06-17,1130153.7335945477
2022-06-21,1178643.954643972
2022-06-22,1168388.208036596
2022-06-23,1171019.7749141674
2022-06-24,1208439.6718873775
2022-06-27,1207798.1544253763
2022-06-28,1184225.503978499
2022-06-29,1176979.3321922338
2022-06-30,1153669.881600548
2022-07-01,1161630.6391997447
2022-07-05,1170637.85180442
2022-07-06,1174935.650311992
2022-07-07,1205527.8315990746
2022-07-08,1209111.0556215092
2022-07-11,1181462.8619362128
2022-07-12,1169146.015861627
2022-07-13,1164562.4406363154
2022-07-14,1159259.5492335472
2022-07-15,1187208.831308614
2022-07-18,1184396.0976332899
2022-07-19,1222366.6481366926
2022-07-20,1236383.636125343
2022-07-21,1250523.5555716609
2022-07-22,1225555.3854528915
2022-07-25,1228220.2166181386
2022-07-26,1204818.3445245307
2022-07-27,1257384.1113403449
2022-07-28,1268688.521438226
2022-07-29,1304470.1688909214
2022-08-01,1294097.0114985437
2022-08-02,1290560.7157783888
2022-08-03,1309006.0729373626
2022-08-04,1301910.1309345881
2022-08-05,1294522.2635790096
2022-08-08,1285417.157177961
2022-08-09,1280992.376176705
2022-08-10,1314950.2607637323
2022-08-11,1313359.584167853
2022-08-12,1343013.7106882646
2022-08-15,1347369.3413049986
2022-08-16,1343763.0006476047
2022-08-17,1334250.0892589847
2022-08-18,1342080.1382088314
2022-08-19,1317679.6356875338
2022-08-22,1290357.1249326796
2022-08-23,1299388.1631776327
2022-08-24,1302568.3354488513
2022-08-25,1323594.6485434833
2022-08-26,1273612.2088138044
2022-08-29,1268896.3936106628
2022-08-30,1246417.895745429
2022-08-31,1237274.7265899698
2022-09-01,1229956.3313984142
2022-09-02,1218561.6624490537
2022-09-06,1212572.7725303285
2022-09-07,1228384.8447948133
2022-09-08,1237384.6304653436
2022-09-09,1261397.2100819752
2022-09-12,1278294.3206478877
2022-09-13,1214349.200656468
2022-09-14,1225866.4832693152
2022-09-15,1212585.211080123
2022-09-16,1204322.3783644256
2022-09-19,1214207.037863213
2022-09-20,1204749.3891144332
2022-09-21,1182249.6322304064
2022-09-22,1172057.9171088552
2022-09-23,1142732.358414103
2022-09-26,1131391.6339349388
2022-09-27,1137831.3393125383
2022-09-28,1162513.3971720936
2022-09-29,1132613.2129092785
2022-09-30,1115732.9922600857
2022-10-03,1140441.4431010804
2022-10-04,1177628.0441667985
2022-10-05,1184109.5916155428
2022-10-06,1183676.9574265957
2022-10-07,1141833.2111988734
2022-10-10,1126872.0639266793
2022-10-11,1112520.6903948265
2022-10-12,1114878.1398793198
2022-10-13,1147193.997559826
2022-10-14,1116130.4321924853
2022-10-17,1155652.0704488182
2022-10-18,1163253.147569157
2022-10-19,1167205.2349050357
2022-10-20,1161797.8772778665
2022-10-21,1189945.3322899663
2022-10-24,1199943.861084546
2022-10-25,1217060.1437365515
2022-10-26,1192181.241589913
2022-10-27,1171969.8841839666
2022-10-28,1203963.1828678357
2022-10-31,1193719.5903284163
2022-11-01,1185283.096877616
2022-11-02,1152465.3638843107
2022-11-03,1144313.782264678
2022-11-04,1159747.5569153714
2022-11-07,1170257.974256163
2022-11-08,1174506.847744164
2022-11-09,1136006.7822588638
2022-11-10,1202333.1062393049
2022-11-11,1221751.9424005821
2022-11-14,1211190.5701783078
2022-11-15,1219603.097035622
2022-11-16,1207275.3747394236
2022-11-17,1203807.708631265
2022-11-18,1202256.073401127
2022-11-21,1182954.4688187684
2022-11-22,1207058.7064822393
2022-11-23,1222232.226166599
2022-11-25,1217386.7198776356
2022-11-28,1193417.2826753077
2022-11-29,1188911.6643839625
2022-11-30,1238538.3261952975
2022-12-01,1234139.344828815
2022-12-02,1228484.1096857702
2022-12-05,1203191.667735654
2022-12-06,1177892.5886333508
2022-12-07,1172706.4390389207
2022-12-08,1188188.460786135
2022-12-09,1180796.3689311584
2022-12-12,1196886.9294641288
2022-12-13,1207652.408264642
2022-12-14,1197971.7149321535
2022-12-15,1166230.637189185
2022-12-16,1153021.5913860388
2022-12-19,1142868.7981938135
2022-12-20,1142579.4929397572
2022-12-21,1159021.4783894306
2022-12-22,1127534.7975858308
2022-12-23,1137746.1216304032
2022-12-27,1122074.2751234416
2022-12-28,1110582.314012793
2022-12-29,1133741.851568083
2022-12-30,1137493.374274565
2023-01-03,1116293.6694916761
2023-01-04,1115069.3501724948
2023-01-05,1104244.1464709188
2023-01-06,1124760.2533980822
2023-01-09,1130275.8570449832
2023-01-10,1140810.3400293658
2023-01-11,1161984.5241415992
2023-01-12,1173788.7402197297
2023-01-13,1181705.000538348
2023-01-17,1186384.6903237954
2023-01-18,1166309.5218452069
2023-01-19,1164221.88774717
2023-01-20,1196472.9515749959
2023-01-23,1218388.0448246074
2023-01-24,1222122.9463679292
2023-01-25,1217887.895344374
2023-01-26,1252079.9294889336
2023-01-27,1263614.5038793967
2023-01-30,1232812.5676057937
2023-01-31,1257453.7921154639
2023-02-01,1275082.2082264393
2023-02-02,1302318.336158349
2023-02-03,1292303.9315561177
2023-02-06,1289310.950787596
2023-02-07,1323708.0661059178
2023-02-08,1307699.8768734357
2023-02-09,1300677.5619123902
2023-02-10,1301786.2168723005
2023-02-13,1314530.719158295
2023-02-14,1325757.432213812
2023-02-15,1328656.294762325
2023-02-16,1304156.0824025758
2023-02-17,1289318.202658195
2023-02-21,1263811.9970513883
2023-02-22,1260560.8209203877
2023-02-23,1289150.1744839866
2023-02-24,1274242.1147457976
2023-02-27,1282604.869614542
2023-02-28,1278538.4839945785
2023-03-01,1270478.3275317417
2023-03-02,1276174.012395089
2023-03-03,1303235.512787274
2023-03-06,1305450.2776322009
2023-03-07,1284699.500448758
2023-03-08,1284788.4796197612
2023-03-09,1258163.2861039913
2023-03-10,1245989.9176249697
2023-03-13,1248240.14941665
2023-03-14,1279031.4485109483
2023-03-15,1266936.5546174564
2023-03-16,1298192.8130923614
2023-03-17,1288046.419850733
2023-03-20,1299067.057707054
2023-03-21,1333278.178525447
2023-03-22,1316219.4809894308
2023-03-23,1324710.243894493
2023-03-24,1323791.0259537112
2023-03-27,1325132.5545099925
2023-03-28,1320255.167538598
2023-03-29,1338914.4490709056
2023-03-30,1349001.5725946561
2023-03-31,1369147.3851170011
2023-04-03,1390039.0253724146
2023-04-04,1382053.1240947573
2023-04-05,1378855.070694122
2023-04-06,1386600.6822584744
2023-04-10,1384383.5394473232
2023-04-11,1379555.553957248
2023-04-12,1369245.1622378016
2023-04-13,1390270.2181348065
2023-04-14,1397107.1185970397
2023-04-17,1392300.2886528987
2023-04-18,1401773.8842102583
2023-04-19,1396742.0522950396
2023-04-20,1378853.9811542102
2023-04-21,1380123.932738859
2023-04-24,1384549.7294908368
2023-04-25,1360535.6860165366
2023-04-26,1366941.8860873058
2023-04-27,1405572.4780016479
2023-04-28,1416557.211982082
2023-05-01,1416063.4925856737
2023-05-02,1391673.2546285628
2023-05-03,1377159.4156202942
2023-05-04,1365533.5760072942
2023-05-05,1399427.6879432956
2023-05-08,1406527.6061092261
2023-05-09,1397785.4934591916
2023-05-10,1407272.4194909998
2023-05-11,1407362.304837941
2023-05-12,1400772.9268761585
2023-05-15,1406148.977322078
2023-05-16,1404341.602518401
2023-05-17,1432064.0891900365
2023-05-18,1456153.148080861
2023-05-19,1453534.731219137
2023-05-22,1455966.9378026167
2023-05-23,1444916.2011070347
2023-05-24,1444807.4350265583
2023-05-25,1506214.4255945324
2023-05-26,1530697.622319477
2023-05-30,1541060.6000617512
2023-05-31,1518309.6967021993
2023-06-01,1550735.8376184218
2023-06-02,1564738.2435206186
2023-06-05,1563122.4183561045
2023-06-06,1560975.2259974258
2023-06-07,1541642.255642387
2023-06-08,1560167.87009558
2023-06-09,1565904.462549644
2023-06-12,1581112.4401509468
2023-06-13,1598224.440201933
2023-06-14,1601693.990566762
2023-06-15,1616281.4216509883
2023-06-16,1607688.0138364078
2023-06-20,1617007.193515603
2023-06-21,1602639.429588538
2023-06-22,1614236.238340363
2023-06-23,1598569.7324855693
2023-06-26,1572308.6027892828
2023-06-27,1596660.5191785567
2023-06-28,1595650.8939711591
2023-06-29,1598672.1973218468
2023-06-30,1626461.691817786
2023-07-03,1632883.1022939424
2023-07-05,1633488.8470650306
2023-07-06,1614636.9996800423
2023-07-07,1612971.0948321763
2023-07-10,1605785.9887726132
2023-07-11,1616219.383494283
2023-07-12,1638280.1410531367
2023-07-13,1664122.8269361386
2023-07-14,1663213.4513922038
2023-07-17,1681815.093853755
2023-07-18,1699939.265874871
2023-07-19,1699450.9063286847
2023-07-20,1665438.4887514035
2023-07-21,1651459.886375533
2023-07-24,1666429.3016262855
2023-07-25,1678612.6664485498
2023-07-26,1678414.8098622542
2023-07-27,1677647.4600596307
2023-07-28,1702156.049319653
2023-07-31,1710515.969854615
2023-08-01,1701838.8125566163
2023-08-02,1661260.228757334
2023-08-03,1669665.5673237618
2023-08-04,1667286.810520297
2023-08-07,1680766.175908547
2023-08-08,1669323.0437484605
2023-08-09,1643005.3949935515
2023-08-10,1645587.389418295
2023-08-11,1636870.7751434217
2023-08-14,1667044.0715198526
2023-08-15,1645476.3996471683
2023-08-16,1625755.4768253271
2023-08-17,1617112.185350437
2023-08-18,1617507.9332701857
2023-08-21,1656662.5197087745
2023-08-22,1642677.4531044622
2023-08-23,1664924.2377253675
2023-08-24,1644654.9321534527
2023-08-25,1648456.0318722734
2023-08-28,1662935.0085101048
2023-08-29,1702050.543292035
2023-08-30,1711113.983837377
2023-08-31,1709303.46763738
2023-09-01,1705468.0986269538
2023-09-05,1713960.991172712
2023-09-06,1693338.4561060178
2023-09-07,1683338.459648011
2023-09-08,1684758.314008967
2023-09-11,1698165.9109518963
2023-09-12,1693642.5846241591
2023-09-13,1702595.5453928981
